t.uri	pref.uri
http://www.owl-ontologies.com/unnamed.owl#Wingspan	http://www.wikidata.org/entity/Q245097
https://www.wikidata.org/wiki/Q25322	https://www.wikidata.org/entity/Q25322
http://www.wikidata.org/entity/Q16	http://www.geonames.org/6251999
http://www.wikidata.org/entity/Q223	http://www.geonames.org/3425505
http://www.wikidata.org/entity/Q20	http://www.geonames.org/3144096
http://www.wikidata.org/entity/Q1008	http://www.geonames.org/2287781
http://www.wikidata.org/entity/Q869	http://www.geonames.org/1605651
http://www.wikidata.org/entity/Q30	http://www.geonames.org/6252001
http://www.wikidata.org/entity/Q736	http://www.geonames.org/3658394
http://www.wikidata.org/entity/Q836	http://www.geonames.org/1327865
http://www.wikidata.org/entity/Q25227	https://www.wikidata.org/entity/Q25227
http://www.wikidata.org/entity/Q760	http://www.geonames.org/3576468
http://www.wikidata.org/entity/Q25279	http://www.geonames.org/7626836
http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/RO_0002303
http://purl.obolibrary.org/obo/ENVO_00000109	http://purl.obolibrary.org/obo/ENVO_01000175
http://purl.obolibrary.org/obo/ENVO_00000261	http://purl.obolibrary.org/obo/ENVO_01000178
http://purl.obolibrary.org/obo/ENVO_00000020	http://purl.obolibrary.org/obo/ENVO_01000252
http://purl.obolibrary.org/obo/ENVO_00000063	http://purl.obolibrary.org/obo/ENVO_00002030
http://purl.obolibrary.org/obo/ENVO_00002031	http://purl.obolibrary.org/obo/ENVO_00000002
http://purl.obolibrary.org/obo/ENVO_00000023	http://purl.obolibrary.org/obo/ENVO_01000253
http://purl.obolibrary.org/obo/ENVO_01000322	http://purl.obolibrary.org/obo/ENVO_00002019
http://purl.obolibrary.org/obo/ENVO_00000570	http://purl.obolibrary.org/obo/ENVO_00002019
http://purl.obolibrary.org/obo/ENVO_00000056	http://purl.obolibrary.org/obo/ENVO_00000033
http://purl.obolibrary.org/obo/ENVO_00000021	http://purl.obolibrary.org/obo/ENVO_01000252
http://purl.obolibrary.org/obo/ENVO_00000012	http://purl.obolibrary.org/obo/ENVO_00002030
http://purl.obolibrary.org/obo/ENVO_01000231	http://purl.obolibrary.org/obo/ENVO_00002015
http://purl.obolibrary.org/obo/ENVO_00002151	http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_01000238	http://purl.obolibrary.org/obo/ENVO_01000339
http://purl.obolibrary.org/obo/ENVO_00002042	http://purl.obolibrary.org/obo/ENVO_00002030
http://purl.obolibrary.org/obo/ENVO_00000112	http://purl.obolibrary.org/obo/ENVO_01000180
http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/RO_0002303
http://eol.org/schema/terms/forbHerb	http://purl.obolibrary.org/obo/FLOPO_0022142
http://eol.org/schema/terms/graminoid	http://purl.obolibrary.org/obo/FLOPO_0900036
http://eol.org/schema/terms/shrub	http://purl.obolibrary.org/obo/FLOPO_0900034
http://eol.org/schema/terms/tree	http://purl.obolibrary.org/obo/FLOPO_0900033
http://eol.org/schema/terms/vine	http://purl.obolibrary.org/obo/FLOPO_0900035
http://eol.org/schema/terms/Oceanic	http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_01000321	http://purl.obolibrary.org/obo/ENVO_00000447
http://www.owl-ontologies.com/unnamed.owl#MigratoryStatus	http://purl.obolibrary.org/obo/IDOMAL_0002084
http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/RO_0002303
http://marineregions.org/mrgid/36323	http://www.geonames.org/4030959
http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/RO_0002303
http://eol.org/schema/terms/FarEast	http://www.geonames.org/7729894
http://www.wikidata.org/entity/Q158725	http://www.geonames.org/205253
http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/RO_0002303
http://eol.org/schema/terms/DispersalVector	http://eol.org/schema/terms/IsDispersalVectorFor
http://eol.org/schema/terms/Oceanic	http://purl.obolibrary.org/obo/ENVO_00000447
http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/RO_0002303
http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/RO_0002303
http://eol.org/schema/terms/SeawaterTemperature	http://eol.org/schema/terms/WaterTemperature
http://eol.org/schema/terms/TrophicLevel	http://www.wikidata.org/entity/Q1053008
http://eol.org/schema/terms/photoautotrophy	http://purl.obolibrary.org/obo/ECOCORE_00000013
http://www.wikidata.org/entity/Q59099	https://www.wikidata.org/entity/Q59099
http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/RO_0002303
http://eol.org/schema/terms/freshwaterLake	http://purl.obolibrary.org/obo/ENVO_01000252
http://eol.org/schema/terms/freshwaterPond	http://purl.obolibrary.org/obo/ENVO_00000033
http://eol.org/schema/terms/freshwaterStream	http://purl.obolibrary.org/obo/ENVO_01000253
http://eol.org/schema/terms/lowlandFreshwaterRiver	http://purl.obolibrary.org/obo/ENVO_01000253
http://eol.org/schema/terms/openWater	http://purl.obolibrary.org/obo/ENVO_00002030
http://eol.org/schema/terms/planktonicAlgae	https://www.wikidata.org/entity/Q184755
http://eol.org/schema/terms/tapWater	http://purl.obolibrary.org/obo/ENVO_00003096
http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/RO_0002303
http://www.wikidata.org/entity/Q702	http://www.geonames.org/2081918
http://marineregions.org/mrgid/4365	https://marineregions.org/mrgid/4365
http://marineregions.org/mrgid/4334	http://www.marineregions.org/mrgid/4334
http://eol.org/schema/terms/annual	http://purl.obolibrary.org/obo/FLOPO_0980071
http://eol.org/schema/terms/biennial	http://purl.obolibrary.org/obo/FLOPO_0980072
http://eol.org/schema/terms/climbingPlant	http://purl.obolibrary.org/obo/FLOPO_0900035
http://eol.org/schema/terms/decumbent	http://purl.obolibrary.org/obo/PATO_0002343
http://eol.org/schema/terms/forbHerb	http://purl.obolibrary.org/obo/FLOPO_0022142
http://eol.org/schema/terms/graminoid	http://purl.obolibrary.org/obo/FLOPO_0900036
http://eol.org/schema/terms/perennial	http://purl.obolibrary.org/obo/FLOPO_0980073
http://eol.org/schema/terms/shrub	http://purl.obolibrary.org/obo/FLOPO_0900034
http://eol.org/schema/terms/tree	http://purl.obolibrary.org/obo/FLOPO_0900033
http://eol.org/schema/terms/federalEndangered	http://eol.org/schema/terms/endangered
http://eol.org/schema/terms/vine	http://purl.obolibrary.org/obo/FLOPO_0900035
http://eol.org/schema/terms/coldStratificationNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/flowerConspicuousNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/fruitSeedConspicuousNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/fruitPersistentNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/smallGrainNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/fallConspicuousNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/fireResistantNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/palatableHumansNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/lowGrowingGrassNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/coarseSoilNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/fineSoilNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/mediumSoilNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedByBareRootNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedByBulbsNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedByContainerNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedByCormsNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedByCuttingsNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedBySeedNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedBySodNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedBySprigsNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/propagatedByTubersNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/coppicePotentialNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/ResproutNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/christmasTreeNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/fodderNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/navalStoreNo	http://eol.org/schema/terms/no
